Periode,Data Inflasi
Juli 2013,8.61 %
Juni 2013,5.9 %
Mei 2013,5.47 %
April 2013,5.57 %
Maret 2013,5.9 %
Februari 2013,5.31 %
Januari 2013,4.57 %
Desember 2012,4.3 %
November 2012,4.32 %
Oktober 2012,4.61 %
September 2012,4.31 %
Agustus 2012,4.58 %
Juli 2012,4.56 %
Juni 2012,4.53 %
Mei 2012,4.45 %
April 2012,4.5 %
Maret 2012,3.97 %
Februari 2012,3.56 %
Januari 2012,3.65 %
Desember 2011,3.79 %
November 2011,4.15 %
Oktober 2011,4.42 %
September 2011,4.61 %
Agustus 2011,4.79 %
Juli 2011,4.61 %
Juni 2011,5.54 %
Mei 2011,5.98 %
April 2011,6.16 %
Maret 2011,6.65 %
Februari 2011,6.84 %
Januari 2011,7.02 %
Desember 2010,6.96 %
November 2010,6.33 %
Oktober 2010,5.67 %
September 2010,5.8 %
Agustus 2010,6.44 %
Juli 2010,6.22 %
Juni 2010,5.05 %
Mei 2010,4.16 %
April 2010,3.91 %
Maret 2010,3.43 %
Februari 2010,3.81 %
Januari 2010,3.72 %
Desember 2009,2.78 %
November 2009,2.41 %
Oktober 2009,2.57 %
September 2009,2.83 %
Agustus 2009,2.75 %
Juli 2009,2.71 %
Juni 2009,3.65 %
Mei 2009,6.04 %
April 2009,7.31 %
Maret 2009,7.92 %
Februari 2009,8.6 %
Januari 2009,9.17 %
Desember 2008,11.06 %
November 2008,11.68 %
Oktober 2008,11.77 %
September 2008,12.14 %
Agustus 2008,11.85 %
Juli 2008,11.9 %
Juni 2008,11.03 %
Mei 2008,10.38 %
April 2008,8.96 %
Maret 2008,8.17 %
Februari 2008,7.4 %
Januari 2008,7.36 %
Desember 2007,6.59 %
November 2007,6.71 %
Oktober 2007,6.88 %
September 2007,6.95 %
Agustus 2007,6.51 %
Juli 2007,6.06 %
Juni 2007,5.77 %
Mei 2007,6.01 %
April 2007,6.29 %
Maret 2007,6.52 %
Februari 2007,6.3 %
Januari 2007,6.26 %
Desember 2006,6.6 %
November 2006,5.27 %
Oktober 2006,6.29 %
September 2006,14.55 %
Agustus 2006,14.9 %
Juli 2006,15.15 %
Juni 2006,15.53 %
Mei 2006,15.6 %
April 2006,15.4 %
Maret 2006,15.74 %
Februari 2006,17.92 %
Januari 2006,17.03 %
Desember 2005,17.11 %
November 2005,18.38 %
Oktober 2005,17.89 %
September 2005,9.06 %
Agustus 2005,8.33 %
Juli 2005,7.84 %
Juni 2005,7.42 %
Mei 2005,7.4 %
April 2005,8.12 %
Maret 2005,8.81 %
Februari 2005,7.15 %
Januari 2005,7.32 %
Desember 2004,6.4 %
November 2004,6.18 %
Oktober 2004,6.22 %
September 2004,6.27 %
Agustus 2004,6.67 %
Juli 2004,7.2 %
Juni 2004,6.83 %
Mei 2004,6.47 %
April 2004,5.92 %
Maret 2004,5.11 %
Februari 2004,4.6 %
Januari 2004,4.82 %
Desember 2003,5.16 %
November 2003,5.53 %
Oktober 2003,6.48 %
September 2003,6.33 %
Agustus 2003,6.51 %
Juli 2003,6.27 %
Juni 2003,6.98 %
Mei 2003,7.15 %
April 2003,7.62 %
Maret 2003,7.17 %
Februari 2003,7.6 %
Januari 2003,8.68 %
